Name,Garment_Name,Experience_Years,Job_Role,Working_Hours_Per_Week,Exposure_To_Chemicals,Machine_Use,Workstation_Ergonomics,Injury_History,Health_Condition,Safety_Training,Shift_Type,Task_Rotation_Frequency,Job_Risk
Taslima Akter,Pallmall Group,38,Packaging,41,Medium,Light,Average,2,Healthy,Basic,Day,Occasional,Low
Rasel Hossain,Pallmall Group,28,Packaging,51,Low,Light,Average,0,Minor_Chronic,Basic,Day,Frequent,Low
Abdul Latif,Pallmall Group,14,Supervisor,68,Low,Unknown,Average,0,Healthy,Unknown,Night,Frequent,Medium
Nazia Sultana,Pallmall Group,7,Sewing,28,High,Unknown,Average,0,Healthy,Basic,Day,Occasional,Low
Nazia Sultana,Pallmall Group,20,Packaging,49,Unknown,Light,Average,0,Healthy,Advanced,Day,Frequent,Low
Taslima Akter,Pallmall Group,38,Ironing,50,Medium,Light,Good,0,Healthy,Basic,Day,Occasional,Low
Shamina Begum,Pallmall Group,18,Cutting,46,Unknown,Light,Average,1,Healthy,Basic,Day,Occasional,Low
Fariha Khan,Pallmall Group,22,Sewing,45,Low,Light,Average,2,Healthy,Basic,Day,Rare,Low
Rahim Ahmed,Pallmall Group,10,Packaging,39,Low,Unknown,Average,0,Healthy,Advanced,Day,Occasional,Low
Shamina Begum,Pallmall Group,10,Sewing,55,Low,Heavy,Good,0,Healthy,Advanced,Day,Occasional,Low
Taslima Akter,Pallmall Group,23,Cutting,55,Unknown,Light,Average,0,Serious_Chronic,Unknown,Day,Occasional,Medium
Abdul Latif,Pallmall Group,35,Sewing,60,Unknown,Light,Average,0,Minor_Chronic,Basic,Night,Occasional,Low
Abdul Latif,Pallmall Group,39,Packaging,46,Low,Light,Poor,0,Healthy,Unknown,Day,Rare,Medium
Abdul Latif,Pallmall Group,23,Packaging,55,Medium,Unknown,Average,0,Healthy,Basic,Day,Rare,Low
Rahim Ahmed,Pallmall Group,2,Packaging,64,Unknown,Heavy,Poor,1,Healthy,Unknown,Day,Occasional,High
Shahidul Islam,Pallmall Group,21,Sewing,53,Medium,Light,Average,0,Healthy,Unknown,Day,Rare,Medium
Mushfiqur Rahman,Pallmall Group,1,Sewing,62,Unknown,Light,Good,0,Minor_Chronic,Unknown,Evening,Rare,Medium
Shamina Begum,Pallmall Group,23,Dyeing,61,Low,Unknown,Good,0,Healthy,Advanced,Day,Occasional,Medium
Shahidul Islam,Pallmall Group,29,Ironing,62,Medium,Light,Average,1,Healthy,Advanced,Day,Frequent,Low
Shamina Begum,Pallmall Group,37,Sewing,67,Low,Unknown,Good,1,Healthy,Unknown,Day,Rare,Medium
Abdul Latif,Pallmall Group,1,Packaging,43,High,Light,Poor,0,Minor_Chronic,Basic,Day,Occasional,Medium
Taslima Akter,Pallmall Group,20,Supervisor,65,Low,Light,Good,0,Serious_Chronic,Basic,Night,Rare,Medium
Mushfiqur Rahman,Pallmall Group,32,Packaging,40,Low,Heavy,Average,0,Healthy,Basic,Day,Occasional,Low
Shahidul Islam,Pallmall Group,11,Packaging,50,Unknown,Light,Average,0,Healthy,Advanced,Day,Rare,Low
Mushfiqur Rahman,Pallmall Group,21,Supervisor,49,Unknown,Unknown,Good,1,Healthy,Unknown,Day,Occasional,Low
Abdul Latif,Pallmall Group,24,Sewing,43,Unknown,Unknown,Good,0,Healthy,Basic,Evening,Occasional,Low
Shamina Begum,Pallmall Group,26,Ironing,55,Low,Light,Average,1,Healthy,Basic,Day,Rare,Low
Taslima Akter,Pallmall Group,27,Supervisor,62,Unknown,Light,Average,0,Serious_Chronic,Basic,Day,Occasional,Low
Shahidul Islam,Pallmall Group,15,Sewing,35,Unknown,Unknown,Poor,0,Healthy,Basic,Day,Occasional,Low
Nazia Sultana,Pallmall Group,14,Packaging,49,Unknown,Heavy,Good,1,Minor_Chronic,Advanced,Day,Rare,Medium
Fariha Khan,Pallmall Group,2,Dyeing,48,Unknown,Unknown,Average,0,Serious_Chronic,Advanced,Day,Occasional,Medium
Rahim Ahmed,Pallmall Group,36,Dyeing,53,Unknown,Heavy,Poor,2,Healthy,Unknown,Day,Occasional,High
